Actual word in English,Actual word in Hindi,Predicted word in Hindi
shipping,शिपिंग,शिप्पि
patiala,पटियाला,पटियाला
jaanam,जानम,जानम
financial,फाइनेंसियल,फाइनेंशल]#
damae,दमाए,दमाई
policy,पालिसी,पोलिसी
icc,आइसीसी,आईसीसी
kuchchh,कुच्छ,कुछच]
cheekhna,चीखना,चीखना
reliance,रिलायंस,रिलाइंस
urvarakon,उर्वरकों,उर्वरकों
ravael,रवैल,रवाल
ladhkiyon,लड़कियो,लाखडियो
mukeshwaree,मुकेश्वरी,मुकेश्वरी
wankshetra,वनक्षेत्र,वांक्षेत्
ummeede,उम्मीदे,उम्मीदे
kahaavah,कहावह,कहावह
kaantipoorn,कांतिपूर्ण,कांतीपूर्ण
badaaen,बड़ाएँ,बदाएँ]
enseeaardablyusee,एनसीआरडब्ल्यूसी,एन्सीयारबिड्टीय
pratibaddhataa,प्रतिबद्धाता,प्रतिदाबता]#
follow,फ़ॉलो,फोलोव
sevamukta,सेवामुक्त,सेवामुक्त
evanston,इवान्स्टन,एवांस्टन]
charas,चरस,चरस
hills,हील्स,हिल्स
robertsan,रॉबर्टसन,रोबरस्टा
bhadauriya,भदौरिया,भदौरिया
glaxosmithkline,ग्लैक्सोस्मिथक्लीन,ग्लाक्सोमिट्लीन्यु
producton,प्रॉडक्टों,प्रोडक्टन]
guevara,गेवारा,गुएवार
vigyaanon,विज्ञानों,विज्ञानों
jarvis,जार्विस,जरविस]#
laphz,लफ्ज,लाफ्
font,फॉन्ट,फ़ोंट
paradheen,पराधीन,पराधीन
shak,शक़,शक्
ganjhoo,गंझू,गंझू
dit,डिट,डीट
danptiyon,दंपतियों,दंपतियों
maadhikhedhaa,माड़ीखेड़ा,माधीखेड़ा]
pratishthaanon,प्रतिष्ठानोंं,प्रतिष्ठानों]
soond,सूंड़,सूंद]
ginte,गिनते,जिन्ट
alagalag,अलगअलग,अलगलग]
swastikakaar,स्वास्तिकाकार,स्वस्तिकाकार]
pratikaraa,प्रतिकारा,प्रतिकरा]
aastik,आस्तिक,आस्तिक
niveshkartaa,निवेशकर्ता,निवेशकरता]
saval,सवाल,सवाल
sanskritiyan,संस्कृतियां,संस्कृतियान
raubdar,रौबदार,रौबदार
raghuram,रघुराम,राघुरा
intaravyu,इंटरव्यु,इन्तरावू
chharhari,छरहरी,छरहरी
sawyer,सॉयर,सायव
bhasapa,भासपा,भासाप
jvaaron,ज्वारों,ज्वारों
sansthita,संस्थिता,संस्थिता
parshdon,पार्षदों,परश्दों]
pulatskar,पुलत्स्कर,पुलत्साकर
uthaaeange,उठाएँगे,उठाएंगे
laengee,लाएंगी,लेंगी]
oeeef,ओईएफ,ओीफ]
valsad,वलसाड,वालसा
mulon,मूलों,मुलों
putliyan,पुतलियां,पुल्तिया
shmil,शमिल,शएमए
riggs,रिग्स,आरिजी
camarillo,कैमेरिलो,कैमारिलो
saflataa,सफ़लता,सफलाता
vinasht,विनष्ट,विनाश्
kping,कपिंग,केपीं
jayalalithaa,जयललिता,जलयलिता
items,आइटम्स,इटम]##
soccer,सॉकर,सॉसर
asphalt,एस्फाल्ट,अफसल्ट]#
mehrotra,मेहरोत्रा,मेहरोत्र]
chune,चुने,चुने
zarakh,जरख,ज़र
mejbaani,मेज़बानी,मेजबानी]
muflisi,मुफलिसी,मुफलिसी
luna,लूना,लुना
warnavyavasthaavaadiyon,वर्णव्यवस्थावादियों,वर्णव्यवादासवतायों]
lipaaee,लिपाई,लिपाई
uthni,उठनी,उठ्न
bajaj,बजाज,बजज]
hisarah,हिसारः,हिसरह]
dampatiyon,दंपतियों,दमपतियों
watson,वॉटसन,वास्ट
augustustine,अगस्टाइन,अगस्टस्ट
pataakshep,पटाक्षेप,पटाक्षेप
dhandhekhoree,धंधेखोरी,धनधेखेरी
ubhregaa,उभरेगा,उभरेगा
anton,एंटोन,अंतों
apardarshi,अपारदर्शी,अपरदर्शी]
nihlaani,निहलानी,निहलानी
tivolee,टिवोली,तिवोली
hogis,होगिस,होगिस
winter,विंटर,विंटर
badalavaakar,बदलवाकर,बदावलाक
ghumaee,घुमाई,घुमाई
petaluma,पेटालुमा,पेटलुमा]
beeemdablyooem,बीएमडब्ल्यूएम,बीडमबीलम]####
bakhshate,बख्शते,बखशाते
sanvedikaran,संवेदीकरण,संवेदीकरण
telon,तेलों,तेलों
ghummakkadon,घुमक्कड़ों,घुम्मकाकों
haanfte,हांफते,हाँफते
farheen,फरहीन,फरहीन
james,जेम्स,जेमेस
kiratpur,कीरतपुर,किराटपु
redding,रेडिंग,रेडिंग
shaq,शक़,शक्
surprise,सरप्राइज़,सुरप्राइज
kisanon,किसानों,किसनों]
chalenge,चलेंगे,चलेंगे
yoder,योडेर,योदेर
stein,स्टीन,स्टीन
paithelojist,पैथेलॉजिस्ट,पैथेलोजिस्ट
labeling,लेबलिंग,लेबलिंग
ikthiyosis,इक्थियोसिस,इिक्योतिसो
liberation,लिबरेशन,लिबरेशन
phoodon,फूडॉन,फूदों
nanhein,नन्हें,ननहें]
bhadauria,भदौरिया,भदौरिया
jatilaa,जटिला,जतिला
pahunchanee,पहुंचनी,पहुंचनी
raashtron,राष्ट्रोंं,राष्ट्रों]
blossom,ब्लॉसम,ब्लोसो
tandon,टंडन,तंदो
gadbadbadee,गड़बड़बड़ी,गडबडबीड़ा]
sanasthita,संस्थिता,संसतिता]
yatraen,यात्राएं,यतराएं]#
aadan,आदान,आदान
javate,जावते,जवते]
niyuttiyon,नियुत्तियों,नियत्तियों]
bhishm,भीष्म,भीष्म
hundiya,हंडिया,हुंडिय
murgeepaalan,मुर्गीपालन,मुर्गीपालन
malekar,मालेकर,मलेकर]
loveland,लवलैंड,लोवेलं
mavey,मावे,मावे
vikram,विक्रम,विक्रा
hanfte,हांफते,हैंफेट
barrackpore,बैरकपुर,बैर्कार
ghaziabad,ग़ाज़ियाबाद,गाज़िबास]##
tarkon,तर्कों,तरकों]
spf,एसपीएफ,एसपीएफ
artemis,आर्टेमिस,आर्टेमिस
aipp,ऐप्प,एआईप
jaiban,जयबाण,जैबन]
gairairaadatan,गैरइरादतन,गैरैराताद
vivekadhin,विवेकाधीन,विवेकधीन]
sabajooniyar,सबजूनियर,सबाजौनिय
faliya,फालिया,फलिया]
prekshakganon,प्रेक्षकगणों,प्रेक्षकांगो
purvaasiyon,पुरवासियों,पुर्वासियो
vipannata,विपन्नता,विपननाता
maanga,मांगा,मांगा
ordanens,ऑर्डनेंस,ओरडेनेस]
pradhan,प्रधान,प्रधान
abhiyuktonke,अभियुक्तोंके,अभियुक्तांचे
viratkhand,विराटखंड,विराथकंड
hijbul,हिजबुल,हिजबुल
vidyaon,विद्याओं,विद्याओं
manju,मंजू,मांज
chhawindra,छविंद्र,छविन्द्
chhupkar,छुपकर,छुपकर
doranda,डोरंडा,दोरंडा
saym,सायं,सैम]
mithhaiyaan,मिठाइयाँ,मिठ्याईय
jeevvigyaniyon,जीवविज्ञानियों,जीव्यविज्ञानों
pashtuun,पश्तून,पश्तुउ
brahraachaarinee,ब्रह्राचारिणी,ब्रह्रचारीनी]
jerusalem,यरूशलेम,जेरुसाम
altamonte,एल्टामोंटे,अल्टामोन्त
sihuntaa,सिहुंता,सिहुनता
hemwati,हेमवती,हेमवाट
koshadhikaaree,कोषाधिकारी,कोषधिकारी]
ashanka,आशंका,अशंका
bean,बीन,बीई
vaigyanikata,वैज्ञानिकता,वैज्ञनिकता]
jheelon,झीलों,झेलों
robarto,रोबर्तो,रोबार्ट
shrirampur,श्रीरामपुर,श्रीरामपुर
manchiya,मंचीय,मंचिय
vasoolataa,वसूलता,वसोलता
morrison,मोरीसन,मोरिसन
mhagranth,महाग्रंथ,महगर्थं]
transistor,ट्रांजिस्टर,ट्रांसिस्टर
sarvjaatiya,सर्वजातीय,सर्वज़ाति
patotsav,पाटोत्सव,पटोत्सव]
houkee,हाॅकी,हौकी]
medithsan,मेडिथ्सन,मेदिश्ता
udana,उड़ाना,उड़ना]
saraaymohiuddeenpur,सरायमोहिउद्दीनपुर,सरायोहमिदुपेंद्र]
petersburg,पीटर्सबर्ग,पेटरसबर्ग]
ranjkatha,रंजकता,रण्जकथ
diya,दीया,डिया
mohindar,माेहिंदर,मोहिंदर]
mastek,मस्टेक,मस्तेक
nirbadh,निर्बाध,निरबाड़
ehsaas,एहसास,एहसास
avrutiyon,आवृत्तियों,अवृतुयों]#
eshiyavan,एशियवन,इशिवाय
thki,थकी,तक्
turbine,टरबाइन,तर्बिन
dimaak,दिमाक,दिमाक
jodhpur,जोधपुर,जोधपुर
durdhara,दरदरा,दुरधा
khaastaur,ख़ासतौर,खासतौर]
makrani,मकरानी,मकरानी
high,हाई,हिघ
fatahi,फटही,फताह
mariya,मारिया,मरिया]
ganv,गॉंव,गेनव
pendulam,पेंडुलम,पेंडुलम
aavishakaar,आविष्कार,आविषकार]
natijeh,नतीजेः,नातिजे
jeffersonville,जेफरसनविल,जेफरफोसेल
brahmasiddhi,ब्रह्मसिद्धि,ब्रह्मसिद्धि
tulshidas,तुलसीदास,तुलशीदास
reeta,रीता,रीता
charchaamanch,चर्चामंच,चरचामचं]
pratikaaraa,प्रतिकारा,प्रतिकारा
tarkwaad,तर्कवाद,तर्कवाद
dabangon,दबंगों,दाबांग
hichkicha,हिचकिचा,हिचकीचा
sheershakon,शीर्षकों,शीरक्षों
dam,डम,डी
dviarthee,द्विअर्थी,ड्विर्यती
jawabah,जवाबः,जावाब
bahumaan,बहुमान,बहुमान
jaanchkarata,जांचकर्ता,जांचकरता]
vandemaataram,वन्देमातरम्,वंदेमातरम]#
should,शुड,शॉल
agsta,अगस्ता,एज्स्ट
neu,एनईयू,नेउ]#
dastakhatshuda,दस्तखतशुदा,दस्ताखात्त
surinama,सूरीनाम,सुरीनाम
kingkhan,किंगखान,किंगखान
taras,तरस,तरस
rekannecting,रिकनेक्टिंग,रेकानेक्निं
phaibrik,फाइब्रिक,फैबिर्क]
clair,क्लेयर,क्लाईर
chhejat,छीजत,छेजत
mominatolaa,मोमिनटोला,मोमिनाटाल
virodh,विरोध,विरोध
arena,अरेना,अरेना
unionwaadi,यूनियनवादी,उनिनवाड़ी]
bamleshvaree,बम्लेश्वरी,बमलेश्वरी]
boca,बोका,बोका
immaturity,इम्मैच्योरिटी,इमैट्रुमीटी]#
sansthaan,संसथान,संस्था
jin,जीन,जिन
dadrewa,ददरेवा,ददरेवा
kide,कीड़े,किडे]
karawanou,करावणौ,करावनो
putin,पुतिन,पुटिन
tankaar,टंकार,तनकार
khatakati,खटकती,खटकटी
jadd,जड़,जेड
pushpa,पुष्प,पुष्प
gm,जीएम,जीएम
yusugi,युसूगी,युसुगी
korola,कोरोला,कोरोला
pyade,प्यादे,प्यादे
karavaayegee,करवायेगी,करवायीगे
balaatkaariyon,बलात्कारियों,बलातकारियों]
jatatee,जताती,जतती]
gurdaspur,गुरदासपुर,गुरदस्पुर
shreshthaswaroop,श्रेष्ठस्वरूप,श्रेश्थर्पश्व
shubhprabhaa,शुभप्रभा,शुभ्पभरा
europlast,यूरोप्लास्ट,यूरोप्लॉस्ट
rashtrabhakton,राष्ट्रभक्तों,राष्ट्रकाभोंत
canterbari,कैंटरबरी,कैंटरबरी
communicators,कम्युनिकेटर्स,कम्नीक्यूल्टर
mahamanch,महामंच,महामंच
conway,कॉन्वे,कनवे]#
dwf,डीडब्ल्यूएफ,डीवीएफ]####
reeves,रीव्स,रीव्स
dabhoi,डभोई,दभोई
bhootal,भूतल,भूतल
insaano,इंसानो,इंसानो
emily,एमिल,एमील
vigyaanam,विज्ञानम,विज्ञानम
sapatey,सपाटे,सपते]
atwaal,अटवाल,अटवाल
hindan,हिंडन,हिंदा
aaufisaree,ऑफिसरी,आफुसीर
montclair,मोंटक्लेयर,मोंटकेलर]#
purnsveekrit,पुर्नस्वीकृत,पुर्नसिक्वरि
richardson,रिचर्डसन,रिचारदस्
sandrbh,संदर्भ,संदर्भ
fargo,फार्गो,फार्गो
aleem,अलीम,अलीम
saptakranti,सप्तक्रांति,सप्तकर्तानी
hr,एचआर,एहआर
imaandaari,इमानदारी,इमानदारी
kontrekting,कॉन्ट्रेक्टिंग,कोंट्रीकेटिंग]
gangajal,गंगाजल,गंगाजल
gaur,गौर,गौर
adhikariyon,अधिकरियों,अधिकारियो
bandhan,बंधान,बांधन
sendha,सेंधा,सेंधा
dablyoopidi,डब्ल्यूपीडी,दब्लीबुवित]
gravita,ग्रविटा,ग्रावित
lincoln,लिंगकन,लिनकॉन
pravrittivigyanon,प्रवृत्तिविज्ञानों,प्रवृत्तिवियांगों]
cementation,सीमेंटेशन,सेमेंटेशन
bagad,बगड़,बगद]
gentry,जेन्ट्री,जेन्ट्री
datson,डैटसन,दतसों
montebello,मोंटेबेल्लो,मोंटेबेलो]#
renewables,रिन्यूएबल्स,रेनवाबेल]##
naksalwad,नक्सलवाद,नक्सालवा
aitraz,ऐतराज़,एत्राज
itibhagwatee,इतिभगवती,इतिभागवत
niveshkarta,निवेशकर्ता,निवेशकर्ता
patkathayen,पटकथाएं,पटकाठये
kaabiletaarif,काबिलेतारीफ,काबितेलारी]
bhaadas,भादस,भादस
bhogte,भोगते,भोगते
holding,होल्डिंग,होल्डिंग
dhatta,धत्ता,धट्टा
dhoron,धोरों,धोरों
upakhyanon,उपाख्यानों,उपयख्यनों]
fayetteville,फयेत्तेविल्ले,फेटीवेलियल]##
stockton,स्टॉकटन,स्टॉक्ट
brijesh,ब्रजेश,ब्रीजे
pratigya,प्रतिज्ञा,प्रतिज्ञा
badhaati,बढ़ाती,बढ़ती]
then,थेन,थेन
thomas,थॉमस,थोमस
dhyeywadi,ध्येयवादी,ध्येयावडी
tuesday,ट्यूजडे,तुसेद]#
wgpl,डब्ल्यूजीपीएल,वीजीपीएल]####
ovum,ओवम,ओवू
gati,गति,गती
nucleus,न्यूक्लियस,न्यूक्लस]#
kraar,क़रार,क्रार
purooshottamaachary,पुरूषोत्तमाचार्य,पूरूषोत्तमर्यत]#
manchanda,मनचंदा,मानचंद
lahsun,लहसुन,लाहसु
naqaab,नक़ाब,नकाब]
suja,सूजा,सुजा
mckenzie,मैकेंज़ी,मैकेंज़ी
purzon,पुर्जों,पुर्ज़ो
bahunt,बहुंत,बहुंत
bravo,ब्रावो,ब्रावो
amaanat,अमानत,अमाना
jhuthla,झुठला,झुथला
bush,बुश,बुश
chaukhate,चौखटे,चौखते
apar,अपर,अपा
asthetic,एस्थेटिक,एस्टेटिक
kshetradwara,क्षेत्रद्वारा,क्षेत्रदारावा
sajja,सज्जा,सज्जा
dhahaane,ढहाने,धहाने
nariyalyukt,नारियलयुक्त,नरियालयुक्त
jealous,जूलूस,जीलस]
kursiyo,कुर्सियॉ,कुरसियो]
singhaadey,सिंघाड़े,सिंघड़े]
amy,एमी,एमी
antarmukh,अंतर्मुख,अंतरमुख]
thakkar,ठक्कर,ठक्कर
badbolepan,बड़बोलेपन,बडबोलेपन]
naxaliyon,नक्सलियों,नक्सालियो
manner,मैनर,मननर
himali,हिमाली,हिमाली
naksalavaad,नक्सलवाद,नक्सालाव
half,हॉफ,हेल
mahaadharmaadhyaksha,महाधर्माध्यक्ष,महाधारमध्यक्षा
parmoujood,परमौजूद,परमूजूद
tippanikar,टिप्पणीकार,तिप्पणिकर]
perels,पेरेल्स,पेरेल्स
bhapaee,भपाई,भपीई
beetaane,बीताने,बीताने
valve,वाल्व,वाल्व
dwirookta,द्विरुक्त,द्विरूक्त
eddie,एड्डी,एडीईई
jivaniyaan,जीवनियां,जिवनियाँ
panghal,पंघाल,पंघल]
khand,खंडा,खण्ड
urvarkon,उर्वरकों,उरवर्कों
besin,बेसिन,बेसिन
giriwasiyon,गिरिवासियों,गिरिवासियों
paradhin,पराधीन,पराधिन
pukhtaa,पुख़्ता,पुखता]#
achnera,अछनेरा,अचनेरा
carson,कार्सन,कार्सन
delta,डेल्टा,देलता]
tripura,त्रिपुरा,त्रिपुरा
alaymani,अलयमनी,अलमयनी
kheda,खेड़ा,खेडा]
nahargarh,नाहरगढ,नहरगढ़
shalimar,शालीमार,शालीमार
immaichyority,इम्मैच्योरिटी,इम्मियाचरीटी]
elendt,एलएंडटी,एलेंड]#
properphasebuk,प्रॉपरफेसबुक,प्रुपरेबसेव]
udanon,उड़ानों,उदानों]
mhajan,महाजन,महाजन
moses,मोसेस,मोसेस
bataayaaki,बतायाकि,बटायकी]
alai,अली,अलै
ilectromeetar,इलेक्ट्रोमीटर,इलेक्ट्रीमीटर
amod,आमोद,अमोड
rookenge,रूकेंगे,रूकेंगे
maariya,मारिया,मारिया
raagon,रागों,रागों
aaipief,आइपीएफ,आइपीय]
phalitartha,फलितार्थ,फलिताराथ
supachy,सुपाच्य,सुपच्या
awashist,अवशिष्ट,आवशिस्त
ishat,ईष्ट,इशात
rate,रेट,रते
aata,आटा,आता
mahalon,महलों,महलों
warishthon,वरिष्ठों,वरिष्ठान
jalapot,जलपोत,जलापो
katrina,कैटरीना,काटरीना
jismafaroshee,जिस्मफरोशी,जिस्माफारी
salary,सैलरी,सालरी
raza,रज़ा,राज़
rectare,रैकेटियर,रेक्टर]#
basil,बेसिल,बासिल
badhaataa,बढ़ाता,बढ़ता]
charanbaddha,चरणबद्घ,चारणबड्
bhadkaya,भड़काया,भडकाया]
sahityotsav,साहित्योत्सव,सहित्यतोस्व]
naraseepura,नरसीपुरा,नरसीपुरा
samjhunga,समझूंगा,समझुंगा
chandrapur,चंद्रपुर,चंद्रापु
sarkaa,सरका,सरका
dhaah,ढाह,धाह
praudh,प्रौढ,प्रौद
ahitakaaree,अहितकारी,अहितकारी
darawani,डरावनी,दरावान
belinda,बेलिंडा,बेलिंदा
alayamanee,अलयमनी,अलामयन
datsun,डैटसन,दतसुन
ate,अते,एटी
fasteners,फास्नर्स,फैस्टीनर
bangravala,बंगरावाला,बंगरावाला
saira,सायरा,सैरा]
atthas,अट्टहास,अत्तास]
nirdal,निर्दल,निरदल]
mahbubnagar,महबूबनगर,महबुबनगर
daratey,डराते,दरते]
valkkan,वल्कन,वालका
khastaur,ख़ासतौर,खस्तौर]
barsaai,बरसाई,बरसाई
ananddaayak,आनंददायक,आनंददायक
banbi,बांबी,बनबी]
toh,तो,तो
asmanye,असमान्य,अस्माने
wipannta,विपन्नता,विपन्तना
spast,स्पस्ट,स्पास्
amzera,अमझेरा,एम्ज़र
bechakar,बेचकर,बेचकर
ghatabadh,घटबढ़,घटाबा
kaushalta,कौशलता,कौशातल
machine,मशीन,माचि
wireless,वायरलेस,वायरलेस
fainn,फैंन,फैंन
gaano,गानो,गानो
khambhat,खंभात,खामभा
kyooaaeepeees,क्यूआईपीएस,क्यूपीरी]#
dublin,डबलिन,दुबलि
mta,एमटीए,एमटीआ
samruddhiyon,समृद्धियों,समरुद्धियो
radhakrushnadas,राधाकृष्णदास,राधक्रुषानास
kaansting,कांस्टिंग,कांस्तिंग
idukki,इड्डुक्कि,इदुक्की]#
industrial,इंडस्ट्रियल,इंडस्ट्रियल
bharatwanshee,भारतवंशी,भारतवानश
maangi,मांगी,मांगी
robins,रॉबिंस,रोबिन्
vladimir,व्लादिमीर,व्लदीमिर]
pehowa,पेहोवा,पेहोवा
bagh,बाग,बाघ
ummidwaaree,उम्मीदवारी,उम्मीदवारी
saafgoi,साफगोई,साफ़गो
koottaa,कूत्ता,कूट्टा
adain,एडेन,अदैन
grenite,ग्रेनाइट,ग्रेनिटे
ustara,उस्तरा,उस्तरा
dhundhta,ढूंढता,धुंधता
sangheeyataa,संघीयता,संघियता
kumari,कुमारी,कुमारी
depthiriya,डिप्थीरिया,देपीथिरा]#
adchane,अड़चने,अदचाने
koriyaah,कोरियाः,कोरियाह
prapat,प्रपात,प्रपत]
chhudawaaya,छुड़वाया,छुड़ावाय
suiyan,सूइयां,सुइयान
veronika,वेरोनिका,वेरोनिका
schaeffler,स्कैफलर,सेफलेयर
jyaadaa,ज़यादा,ज्यादा
potter,पॉटर,पोटर
media,मीडिया,मेडिया
yarushalem,यरूशलेम,यारुषाल
pichde,पिछड़े,पिचडे]
letaseng,लेटसेंग,लेटेसें
arthavyawasthataaon,अर्थव्यवस्थताओं,अर्थव्यवासतावाय
kakoo,काकू,ककू]
nirdeshika,निर्देशिका,निर्देशिका
seto,सेटो,सेटो
navate,नवाते,नवते]
samvedansheelata,संवेदन्शीलता,संवेदनशालती]
roadrej,रोडरेज,रोडरेज
chhahon,छहों,छहों
laphj,लफ्ज,लेपज
vanshvad,वंशवाद,वंशवाद
rohtak,रोहतक,रोहतक
atakta,अटकता,अतक्त
baawaraa,बावरा,बावार
kribarabh,कृबरभ,क्रिब
prakashakah,प्रकाशकः,प्रकाशाक
styrolution,स्टायरोल्यूशन,स्टायराल्टियो
apaardarshi,अपारदर्शी,अपारदर्शी
bengaluru,बेंगलुरु,बेंगालुर
andhapan,अंधापन,अंधापन
mainan,मैनन,मैना
kyaah,क्याः,क्या]
formulae,फार्मूले,फॉर्मुला
hamalavar,हमलावर,हमालवर
amavasya,अमावस्या,अमावस्या
purvapekshaaon,पूर्वापेक्षाओं,पूर्वपेक्षाओं]
daishawaalaa,डैशवाला,दाशावाल
oklahoma,ओकलाहोमा,ओक्लाहोम
darmait,डारमैट,दर्मैत
sahakalakar,सहकलाकार,सहकालकर]
fatma,फातमा,फटमा]
khalati,खलती,खलात
dayitva,दायित्व,दायत्व]
kyusaiks,क्यूसैक्स,क्युसैस्क
tolakarmee,टोलकर्मी,तोलकरमी]
version,वर्शन,वर्सि
parisamvad,परिसंवाद,परिसमवाद
immune,इम्युन,इम्यून
bachti,बचती,बच्त
utilities,यूटिलिटीज,यूटीलिटीज
malmaas,मलमास,मलमास
cadmium,कैडमियम,कैडमियम
antioch,एन्टीओक,एंटीओच]
khatedaar,खातेदार,खतेदार]
mohini,मोहिनी,मोहिनी
vishwasniiyataa,विश्वसनीयता,विश्वसनिताय
rehman,रहमान,रेहमन
kanblon,कंबलों,कंबलों
aaryika,आर्यिका,आरियक]#
marrej,मैरेज,मारेज
chheenk,छींक,छींक
phalata,फलता,फलात
baagoraa,बागोरा,बागोरा
pakaude,पकौड़े,पकौड़े
lucie,लूसी,ल्यू
fatehgadh,फतेहगढ़,फतेगढ़]
grahanakaal,ग्रहणकाल,ग्रानाहक
jobs,जॉब्स,जोबीए
sadanand,सदानंद,सदानंद
dutt,दत्त,डट्ट
murgeepalan,मुर्गीपालन,मुर्गीपालन
lurhakate,लुढ़कते,लुरहकते
palmonari,पल्मोनरी,पालमोनार
win,डब्ल्यूआईएन,विन]#######
ubhaara,उभारा,उभारा
beck,बेक,बेस
padaraunaa,पडरौना,पदरौना
bandhate,बांधते,बंधते]
kapoor,कपूर,कपूर
sevaala,सेवाला,सेवाला
vershan,वर्शन,वर्शन
chidhate,चिढ़ते,चिढ़ते
thane,थाणे,थने]
nikalogi,निकलेगी,निकलोगी
mogali,मोगली,मोगली
dredger,ड्रेजर,ड्रेडर
nagarik,नागारिक,नागरिक]
gajipur,गाजीपुर,गजीपुर]
vadak,वादक,वडक]
mitchell,मिचेल,मिचेल
gyatvy,ज्ञातव्य,ज्ञात्वी
standhaari,स्तनधारी,स्तनधारी
dhoraaji,धोराजी,धोराजी
abdunnaasir,अब्दुन्नासिर,अब्दुननासिर]
vishvwandhya,विश्ववंद्या,विश्ववंध्या
satyaarthprakash,सत्यार्थप्रकाश,सत्यराप्रथक्ष]
shivamogga,शिवमोगा,शिवामोग
ghumakkdi,घुमक्कड़ी,घुमक्कडी]
gayen,गाएं,गयें
chee,ची,ची
theateron,थिएटरों,थीटरों]
anadhikaarik,अनाधिकारिक,अन्नाधिकार
shasak,शासक,शासक
hines,हाइंस,हिनेस
bettiah,बेतिया,बेट्टि
dhatna,धटना,धतना
rahamat,रहमत,रहमत
motihari,मोतिहारी,मोतीहारी
pearson,पियरसन,पीरसन]
ujback,उज़्बेक,उजबैक]#
wheeling,व्हीलिंग,व्हालिंग
pythogaras,पाइथागोरस,पाइथोगारस
wipro,विप्रो,विप्रो
kaabiletaareef,काबिलेतारीफ,काबितलीरात]
jamaate,जमाती,जमाते
pulam,पुलम,पुलम
daubaaraa,दौबारा,दौबारा
portillo,पोर्टिलो,पोर्टिलो
adhik,अधीक,अधिक
dhumrapaan,धुम्रपान,धुमरापान
daampatya,दांपत्य,दामपत्य
jamudiya,जामुड़िया,जामुदिया]
pedoo,पेडू,पेडू
pipra,पिपरा,पिप्र
blair,ब्लेयर,ब्लाई]
communications,कम्यूनिकेशन्स,कम्यूइंशियन्स
alayans,अलायंस,अलायन्
aradas,अरदास,अरदास
gudna,गुदना,गुड़न
just,जस्ट,जस्ट
aawajon,आवाज़ों,आवाजों]
benvar,बेंवर,बेनवर
amarillo,अमारिलो,अमारिलो
bramhaand,ब्रह्माण्ड़,ब्रमहांद]##
dikhai,दिखार्इ,दिखाई]#
tantro,तंत्रों,तंत्रो]
aasan,आसान,आसन]
tuglakabad,तुगलकाबाद,तुग्लबाकड
sutton,सट्टन,सुत्त
kandrour,कंदरौर,कैंडर]
khanna,खन्ना,खन्ना
nikalani,निकालनी,निकलनी]
dibanoo,डिबनू,डिबनो
immachyoritee,इम्मैच्योरिटी,इम्माइच्योरीट
tolaasan,तोलासन,तोलासन
jaanaakaree,जानाकरी,जानाकरी
liwaal,लिवाल,लिवाल
engeline,एंजेलिन,एन्जीलन
rushitaa,ऋषिता,रुषित
flint,फ्लिंट,फ्लाइं
vrishchikahsaptah,वृश्चिकःसप्ताह,वृष्छिकासहाठ्प
aasmatee,आसमती,आस्मत
girkar,गिरकर,गिरकर
vaigyaanik,वैज्ञानिक,वैज्ञानिक
bishadhee,बिशड़ी,बिशाधी
phoolatee,फूलती,फूलती
punahsthapana,पुनःस्थापना,पुनहस्थापान
badh,बाध,बढ़
gandha,गंध,गंध
chakshu,चक्षु,चक्षु
miktaam,मिकटॉम,मिक्तम
liidaron,लीडरों,लिदारो
zabardast,ज़बर्दस्त,ज़ाबरदास]
stuti,स्तुति,स्तुती
aurato,औरतो,औरतो
heblikar,हेब्लिकर,हेबीलकर]
rattebaajee,रट्टेबाजी,रत्तेबाजी
francisca,फ्रांसिस्का,फ्रैंसिस्का
mumba,बंबा,मुंब
pratiyukti,प्रतियुक्ति,प्रतियुक्ति
darati,डराती,दरती]
pranon,प्राणों,प्रानों
madison,मेडिसन,मैडिसन
nibhaaegee,निभाएगी,निभागी]
myers,मयर्स,मायर्
kashyap,कश्यप,कश्यप
brigadier,ब्रिगेडियर,ब्रिगाइडर]
ambikaaon,अम्बिकाओं,अब्मिकाओं
hogaah,होगाः,होगाह
ishaak,इशाक,इशाक
sumi,सुमि,सुमी
deshbhaktimaya,देशभक्तिमय,देशखबतीयम]
dharmapatriyaan,धर्मपत्रियां,धर्मापत्रिया
krishnanagar,कृष्णानगर,कृष्णनगर]
ea,ईए,ईआ
aayudhnirmaanee,आयुधनिर्माणी,आयुध्रीनमानी
taaja,ताजा,ताजा
ajasra,अजस्र,अजसरा
fijulkharchi,फिजूलखर्ची,फिजुलखर्ची
mantrayon,मंत्रयों,मंत्रयों
tanta,तांता,तानता
dealership,डीलरशिप,डीलर्शि
chapel,चैपल,चैपे
dhwanimikon,ध्वनिमिकों,ध्वानिमिको
education,एजुकेशन,एड्यूक्
jarakh,जरख,जरख
neet,नीट,नीत
jilawaasiyon,जिलावासियों,जिलावासियों
samprabhuta,संप्रभुता,संप्रभुता
kasegaa,कसेगा,कसेगा
pakanevala,पकानेवाला,पकनेवाला]
deepn,दीपन,दीपन
kalasaanaa,कलसाना,कलसाना
mugaalataa,मुगालता,मुगालता
tokne,टोकने,तोकने
falibhoot,फलीभूत,फलीभूत
gyonth,ग्योंठ,ज्ञोंथ
dikhaai,दिखार्इ,दिखाई]#
